llm,function,placeholder,inferred,ground
claud,_string_from_hex,local_28,index,i,0.7403911352157593
gpt3,_string_from_hex,local_28,index,i,0.7403911352157593
gpt4,_string_from_hex,local_28,index,i,0.7403911352157593
gemini,_string_from_hex,param_1,stringPtr,hexStr,0.7404718399047852
claud,_string_from_hex,param_1,hexStringPtr,hexStr,0.842411458492279
gpt3,_string_from_hex,param_1,inputPtr,hexStr,0.538460373878479
gpt4,_string_from_hex,param_1,input_string_ptr,hexStr,0.6760987639427185
gemini,_string_from_int,local_1c,buffer,buffer,0.9999999403953552
claud,_string_from_int,local_1c,buffer,buffer,0.9999999403953552
gpt3,_string_from_int,local_1c,formattedString,buffer,0.5182151198387146
gpt4,_string_from_int,local_1c,formatted_string_buffer,buffer,0.7647945880889893
gemini,_string_from_int,param_1,number,value,0.6063110828399658
claud,_string_from_int,param_1,intValue,value,0.7527722120285034
gpt3,_string_from_int,param_1,valueToConvert,value,0.6974701285362244
gpt4,_string_from_int,param_1,input_integer,value,0.6091486811637878
gemini,_string_from_int_cstr,local_1c,formattedString,buffer,0.5182151198387146
claud,_string_from_int_cstr,local_1c,stringBuffer,buffer,0.8590482473373413
gpt3,_string_from_int_cstr,local_1c,bufferString,buffer,0.8589784502983093
gpt4,_string_from_int_cstr,local_1c,temp_string_buffer,buffer,0.7690740823745728
gemini,_string_from_int_cstr,param_1,integerValue,value,0.7380043864250183
claud,_string_from_int_cstr,param_1,integer,value,0.6364330053329468
gpt3,_string_from_int_cstr,param_1,integerValue,value,0.7380043864250183
gpt4,_string_from_int_cstr,param_1,input_integer,value,0.6091486811637878
gemini,_string_from_int_cstr,pvVar2,allocatedMemory,result,0.35605916380882263
claud,_string_from_int_cstr,pvVar2,stringPtr,result,0.3944523334503174
gpt3,_string_from_int_cstr,pvVar2,resultString,result,0.8493301272392273
gpt4,_string_from_int_cstr,pvVar2,allocated_string,result,0.3387671113014221
gemini,_string_from_unicode,local_10,resultString,strObj,0.5622039437294006
claud,_string_from_unicode,local_10,resultString,strObj,0.5622039437294006
gpt3,_string_from_unicode,local_10,result,strObj,0.4747350811958313
gemini,_string_from_unicode,param_1,inputWideString,wstr,0.6223036050796509
claud,_string_from_unicode,param_1,wideString,wstr,0.5918847918510437
gpt3,_string_from_unicode,param_1,wideString,wstr,0.5918847918510437
gpt4,_string_from_unicode,param_1,input_wide_string,wstr,0.6223036050796509
gemini,_string_from_unicode,pcVar2,utf8String,str,0.691267192363739
claud,_string_from_unicode,pcVar2,convertedString,str,0.6306498646736145
gpt3,_string_from_unicode,pcVar2,convertedString,str,0.6306498646736145
gpt4,_string_from_unicode,pcVar2,converted_string,str,0.6306498646736145
gemini,_string_from_unicode,sVar1,wideStringLength,len,0.786331832408905
claud,_string_from_unicode,sVar1,convertedLength,len,0.7373841404914856
gpt3,_string_from_unicode,sVar1,convertedLength,len,0.7373841404914856
gpt4,_string_from_unicode,sVar1,bytes_converted,len,0.5002420544624329
gemini,_string_front,param_1,stringPtr,str,0.7024031281471252
claud,_string_front,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_front,param_1,inputPtr,str,0.5496656894683838
gpt4,_string_front,param_1,string_ptr,str,0.7024031281471252
gemini,_string_insert,lVar2,newLength,newTotalLength,0.9214159250259399
claud,_string_insert,lVar2,newLength,newTotalLength,0.9214159250259399
gpt3,_string_insert,lVar2,newBufferLength,newTotalLength,0.832005500793457
gpt4,_string_insert,lVar2,new_length,newTotalLength,0.9214159250259399
gemini,_string_insert,lVar3,newMemoryBlock,newData,0.5529937744140625
claud,_string_insert,lVar3,newBuffer,newData,0.6830273866653442
gpt3,_string_insert,lVar3,newBufferAddress,newData,0.5352151393890381
gemini,_string_insert,param_1,stringObject,str,0.6900297999382019
claud,_string_insert,param_1,stringObj,str,0.6848109364509583
gpt3,_string_insert,param_1,stringBuffer,str,0.6193804144859314
gpt4,_string_insert,param_1,string_object,str,0.6900297999382019
gemini,_string_insert,param_2,position,pos,0.848685622215271
claud,_string_insert,param_2,insertPos,pos,0.77838134765625
gpt3,_string_insert,param_2,insertionPosition,pos,0.7129936814308167
gpt4,_string_insert,param_2,insert_position,pos,0.7049083709716797
gemini,_string_insert,param_3,strItem,strItem,1.0
claud,_string_insert,param_3,insertStr,strItem,0.5234464406967163
gpt3,_string_insert,param_3,strItem,strItem,1.0
gpt4,_string_insert,param_3,insert_string,strItem,0.5198608636856079
gemini,_string_insert,sVar1,strItemLength,strItemLength,0.9999999403953552
claud,_string_insert,sVar1,insertStrLen,strItemLength,0.6968820095062256
gpt3,_string_insert,sVar1,strItemLength,strItemLength,0.9999999403953552
gpt4,_string_insert,sVar1,insert_length,strItemLength,0.6419700980186462
gemini,_string_is_alpha,local_20,charIndex,index,0.6866204738616943
claud,_string_is_alpha,local_20,charIndex,index,0.6866204738616943
gpt3,_string_is_alpha,local_20,index,index,1.0
gpt4,_string_is_alpha,local_20,char_index,index,0.6866204738616943
gemini,_string_is_alpha,param_1,stringPtr,str,0.7024031281471252
claud,_string_is_alpha,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_is_alpha,param_1,inputArray,str,0.49866539239883423
gpt4,_string_is_alpha,param_1,string_info,str,0.7043172717094421
gemini,_string_is_digit,local_20,charIndex,index,0.6866204738616943
claud,_string_is_digit,local_20,charIndex,index,0.6866204738616943
gpt3,_string_is_digit,local_20,index,index,1.0
gpt4,_string_is_digit,local_20,index,index,1.0
gemini,_string_is_digit,param_1,stringPtr,str,0.7024031281471252
claud,_string_is_digit,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_is_digit,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_is_digit,param_1,string_object,str,0.6900297999382019
gemini,_string_is_equal,param_1,leftOperand,str1,0.4227215349674225
claud,_string_is_equal,param_1,str1,str1,1.0
gpt3,_string_is_equal,param_1,str1Address,str1,0.6014148592948914
gpt4,_string_is_equal,param_1,string1,str1,0.8739966154098511
gemini,_string_is_equal,param_2,rightOperand,str2,0.4070282280445099
claud,_string_is_equal,param_2,str2,str2,1.0
gpt3,_string_is_equal,param_2,str2Address,str2,0.6037635207176208
gpt4,_string_is_equal,param_2,string2,str2,0.8816872835159302
gemini,_string_is_greater,param_1,string1,str1,0.8739966154098511
claud,_string_is_greater,param_1,str1,str1,1.0
gpt3,_string_is_greater,param_1,str1Addr,str1,0.7155550718307495
gpt4,_string_is_greater,param_1,string1,str1,0.8739966154098511
gemini,_string_is_greater,param_2,string2,str2,0.8816872835159302
claud,_string_is_greater,param_2,str2,str2,1.0
gpt3,_string_is_greater,param_2,str2Addr,str2,0.702411413192749
gpt4,_string_is_greater,param_2,string2,str2,0.8816872835159302
gemini,_string_is_greater_or_equal,param_1,str1,str1,1.0
claud,_string_is_greater_or_equal,param_1,str1,str1,1.0
gpt3,_string_is_greater_or_equal,param_1,str1Address,str1,0.6014148592948914
gpt4,_string_is_greater_or_equal,param_1,string1,str1,0.8739966154098511
gemini,_string_is_greater_or_equal,param_2,str2,str2,1.0
claud,_string_is_greater_or_equal,param_2,str2,str2,1.0
gpt3,_string_is_greater_or_equal,param_2,str2Address,str2,0.6037635207176208
gpt4,_string_is_greater_or_equal,param_2,string2,str2,0.8816872835159302
gemini,_string_is_less,param_1,inputString1,str1,0.7474616765975952
claud,_string_is_less,param_1,string1,str1,0.8739966154098511
gpt3,_string_is_less,param_1,firstStringAddress,str1,0.5488351583480835
gpt4,_string_is_less,param_1,string1,str1,0.8739966154098511
gemini,_string_is_less,param_2,inputString2,str2,0.7380795478820801
claud,_string_is_less,param_2,string2,str2,0.8816872835159302
gpt3,_string_is_less,param_2,secondStringAddress,str2,0.5208931565284729
gpt4,_string_is_less,param_2,string2,str2,0.8816872835159302
gemini,_string_is_less_or_equal,param_1,string1,str1,0.8739966154098511
claud,_string_is_less_or_equal,param_1,str1,str1,1.0
gpt3,_string_is_less_or_equal,param_1,string1Address,str1,0.5434728860855103
gpt4,_string_is_less_or_equal,param_1,string1,str1,0.8739966154098511
gemini,_string_is_less_or_equal,param_2,string2,str2,0.8816872835159302
claud,_string_is_less_or_equal,param_2,str2,str2,1.0
gpt3,_string_is_less_or_equal,param_2,string2Address,str2,0.5570432543754578
gpt4,_string_is_less_or_equal,param_2,string2,str2,0.8816872835159302
gemini,_string_is_lower,local_20,charIndex,index,0.6866204738616943
claud,_string_is_lower,local_20,charIndex,index,0.6866204738616943
gpt3,_string_is_lower,local_20,index,index,1.0
gpt4,_string_is_lower,local_20,char_index,index,0.6866204738616943
gemini,_string_is_lower,param_1,string,str,0.8258129954338074
claud,_string_is_lower,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_is_lower,param_1,stringPointer,str,0.5930760502815247
gpt4,_string_is_lower,param_1,string_object,str,0.6900297999382019
gemini,_string_is_not_equal,param_1,string1,str1,0.8739966154098511
claud,_string_is_not_equal,param_1,str1,str1,1.0
gpt3,_string_is_not_equal,param_1,string1Address,str1,0.5434728860855103
gpt4,_string_is_not_equal,param_1,string1,str1,0.8739966154098511
gemini,_string_is_not_equal,param_2,string2,str2,0.8816872835159302
claud,_string_is_not_equal,param_2,str2,str2,1.0
gpt3,_string_is_not_equal,param_2,string2Address,str2,0.5570432543754578
gpt4,_string_is_not_equal,param_2,string2,str2,0.8816872835159302
gemini,_string_is_upper,local_20,charIndex,index,0.6866204738616943
claud,_string_is_upper,local_20,charIndex,index,0.6866204738616943
gpt3,_string_is_upper,local_20,index,index,1.0
gpt4,_string_is_upper,local_20,char_index,index,0.6866204738616943
gemini,_string_is_upper,param_1,stringData,str,0.6636395454406738
claud,_string_is_upper,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_is_upper,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_is_upper,param_1,string_object,str,0.6900297999382019
gemini,_string_join,local_10,joinedString,result,0.42795827984809875
claud,_string_join,local_10,resultString,result,0.8493301272392273
gpt3,_string_join,local_10,resultString,result,0.8493301272392273
gemini,_string_join,local_34,index,i,0.7403911352157593
claud,_string_join,local_34,i,i,0.9999999403953552
gpt3,_string_join,local_34,index,i,0.7403911352157593
gpt4,_string_join,local_34,index,i,0.7403911352157593
gemini,_string_join,param_1,stringArray,strings,0.7933555245399475
claud,_string_join,param_1,stringArray,strings,0.7933555245399475
gpt3,_string_join,param_1,stringArrayPtr,strings,0.5779741406440735
gpt4,_string_join,param_1,string_array_ptr,strings,0.5779741406440735
gemini,_string_join,param_2,count,count,1.0
claud,_string_join,param_2,stringCount,count,0.7399225831031799
gpt3,_string_join,param_2,count,count,1.0
gpt4,_string_join,param_2,string_count,count,0.7399225831031799
gemini,_string_join,param_3,delimiter,delimiter,1.0
claud,_string_join,param_3,delimiter,delimiter,1.0
gpt3,_string_join,param_3,delimiter,delimiter,1.0
gpt4,_string_join,param_3,delimiter_ptr,delimiter,0.8701810836791992
gemini,_string_join_variadic,local_100,arg15,args,0.6602621078491211
claud,_string_join_variadic,local_100,extraStackArg2,args,0.6033436059951782
gpt3,_string_join_variadic,local_100,secondLastParamValue,args,0.469997763633728
gpt4,_string_join_variadic,local_100,additional_string_5,args,0.4105493724346161
gemini,_string_join_variadic,local_108,arg14,args,0.6352711319923401
claud,_string_join_variadic,local_108,extraStackArg1,args,0.6145254373550415
gpt3,_string_join_variadic,local_108,lastParamValue,args,0.5625970959663391
gpt4,_string_join_variadic,local_108,additional_string_4,args,0.4229089617729187
claud,_string_join_variadic,local_38,numStringsCopy,args,0.41973501443862915
gpt3,_string_join_variadic,local_38,totalParams,args,0.5772103667259216
gpt4,_string_join_variadic,local_38,number_of_strings,args,0.42975324392318726
gemini,_string_join_variadic,local_40,totalArgLengths,totalLength,0.7595416307449341
claud,_string_join_variadic,local_40,totalLength,totalLength,1.0
gpt3,_string_join_variadic,local_40,totalLength,totalLength,1.0
gpt4,_string_join_variadic,local_40,total_length,totalLength,1.0
gemini,_string_join_variadic,local_48,i,i,0.9999999403953552
claud,_string_join_variadic,local_48,stringIndex,i,0.6518666744232178
gpt3,_string_join_variadic,local_48,currentParamIndex,i,0.5905998349189758
gpt4,_string_join_variadic,local_48,string_loop_index,i,0.559394896030426
gemini,_string_join_variadic,local_58,allocatedMemory,joinedStr,0.2837713360786438
claud,_string_join_variadic,local_58,outputBuffer,joinedStr,0.39456766843795776
gpt3,_string_join_variadic,local_58,newString,joinedStr,0.675504207611084
gpt4,_string_join_variadic,local_58,alloc_buffer,joinedStr,0.33186766505241394
gemini,_string_join_variadic,local_60,joinedStringBuffer,current,0.34754467010498047
claud,_string_join_variadic,local_60,outputPtr,current,0.46466588973999023
gpt3,_string_join_variadic,local_60,currentStringPosition,current,0.637833297252655
gpt4,_string_join_variadic,local_60,output_buffer,current,0.3993402123451233
gemini,_string_join_variadic,local_68,currentArgIndex,i,0.6026139259338379
claud,_string_join_variadic,local_68,stringIndex,i,0.6518666744232178
gpt3,_string_join_variadic,local_68,loopCounter,i,0.5254945158958435
gpt4,_string_join_variadic,local_68,string_index,i,0.6518666744232178
claud,_string_join_variadic,local_70,stringDataPtr,str,0.6047946214675903
gpt3,_string_join_variadic,local_70,currentParamPointerCopy,str,0.3249358832836151
gpt4,_string_join_variadic,local_70,current_string_data,str,0.5495118498802185
gemini,_string_join_variadic,local_78,joinedString,result,0.42795827984809875
claud,_string_join_variadic,local_78,resultString,result,0.8493301272392273
gpt3,_string_join_variadic,local_78,newStringPointer,result,0.3862713575363159
gpt4,_string_join_variadic,local_78,result_string,result,0.8493301272392273
gemini,_string_join_variadic,param_1,arg1,count,0.40811124444007874
claud,_string_join_variadic,param_1,formatArg1,count,0.36375343799591064
gpt4,_string_join_variadic,param_1,prefix_size,count,0.48848283290863037
gemini,_string_join_variadic,param_10,arg9,...,0.46577975153923035
claud,_string_join_variadic,param_10,extraArg1,...,0.4515599310398102
gpt4,_string_join_variadic,param_10,string_1,...,0.4807767868041992
gemini,_string_join_variadic,param_11,arg10,...,0.4682122766971588
claud,_string_join_variadic,param_11,extraArg2,...,0.4299113154411316
gpt4,_string_join_variadic,param_11,string_2,...,0.4686393439769745
gemini,_string_join_variadic,param_12,arg11,...,0.4685582220554352
claud,_string_join_variadic,param_12,extraArg3,...,0.42233189940452576
gpt4,_string_join_variadic,param_12,string_3,...,0.45165061950683594
gemini,_string_join_variadic,param_13,arg12,...,0.48543259501457214
claud,_string_join_variadic,param_13,extraArg4,...,0.4325074851512909
gpt4,_string_join_variadic,param_13,string_4,...,0.4764302372932434
gemini,_string_join_variadic,param_14,arg13,...,0.4660075604915619
claud,_string_join_variadic,param_14,extraArg5,...,0.442768931388855
gpt4,_string_join_variadic,param_14,string_5,...,0.468588650226593
gemini,_string_join_variadic,param_2,arg2,...,0.46919870376586914
claud,_string_join_variadic,param_2,formatArg2,...,0.420790433883667
gpt4,_string_join_variadic,param_2,padding_size,...,0.3725813031196594
gemini,_string_join_variadic,param_3,arg3,...,0.4337179958820343
claud,_string_join_variadic,param_3,formatArg3,...,0.4074593782424927
gpt4,_string_join_variadic,param_3,unused_param_3,...,0.3312974274158478
gemini,_string_join_variadic,param_4,arg4,...,0.4501093626022339
claud,_string_join_variadic,param_4,formatArg4,...,0.4186590015888214
gpt4,_string_join_variadic,param_4,unused_param_4,...,0.3461810350418091
gemini,_string_join_variadic,param_5,arg5,...,0.47692179679870605
claud,_string_join_variadic,param_5,formatArg5,...,0.4232444763183594
gpt4,_string_join_variadic,param_5,unused_param_5,...,0.34248846769332886
gemini,_string_join_variadic,param_6,arg6,...,0.4430951476097107
claud,_string_join_variadic,param_6,formatArg6,...,0.4113692045211792
gpt4,_string_join_variadic,param_6,unused_param_6,...,0.33667880296707153
gemini,_string_join_variadic,param_7,arg7,...,0.441514790058136
claud,_string_join_variadic,param_7,formatArg7,...,0.4104819595813751
gpt4,_string_join_variadic,param_7,unused_param_7,...,0.3331129550933838
gemini,_string_join_variadic,param_8,arg8,...,0.45888614654541016
claud,_string_join_variadic,param_8,formatArg8,...,0.41747039556503296
gpt4,_string_join_variadic,param_8,unused_param_8,...,0.3518941402435303
gemini,_string_join_variadic,param_9,numArgs,...,0.5208696126937866
claud,_string_join_variadic,param_9,numStrings,...,0.5069330930709839
gpt4,_string_join_variadic,param_9,string_count,...,0.49335911870002747
claud,_string_length,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_length,param_1,stringObject,str,0.6900297999382019
gpt4,_string_length,param_1,string_object_ptr,str,0.582994818687439
gemini,_string_length_cstr,param_1,string,str,0.8258129954338074
claud,_string_length_cstr,param_1,cstr,str,0.7979212403297424
gpt3,_string_length_cstr,param_1,strPtr,str,0.7935091853141785
gpt4,_string_length_cstr,param_1,input_string,str,0.6509467959403992
gemini,_string_length_utf8,local_10,stringLength,length,0.8391232490539551
claud,_string_length_utf8,local_10,result,length,0.44833263754844666
gpt3,_string_length_utf8,local_10,result,length,0.44833263754844666
gemini,_string_length_utf8,param_1,string,str,0.8258129954338074
claud,_string_length_utf8,param_1,str,str,1.0
gpt3,_string_length_utf8,param_1,inputStr,str,0.7665789723396301
gpt4,_string_length_utf8,param_1,input_string,str,0.6509467959403992
gemini,_string_max_size,param_1,stringObject,str,0.6900297999382019
claud,_string_max_size,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_max_size,param_1,numElements,str,0.4929918944835663
gpt4,_string_max_size,param_1,string_ptr,str,0.7024031281471252
gemini,_string_pad_left,lVar1,paddingLength,padSize,0.883810818195343
claud,_string_pad_left,lVar1,padSize,padSize,1.0000001192092896
gpt3,_string_pad_left,lVar1,lengthDifference,padSize,0.5406626462936401
gpt4,_string_pad_left,lVar1,padding_length,padSize,0.883810818195343
gemini,_string_pad_left,param_1,stringObject,str,0.6900297999382019
claud,_string_pad_left,param_1,stringObj,str,0.6848109364509583
gpt3,_string_pad_left,param_1,stringArray,str,0.675433874130249
gpt4,_string_pad_left,param_1,string_obj,str,0.6848109364509583
gemini,_string_pad_left,param_2,totalLength,totalLength,1.0
claud,_string_pad_left,param_2,totalLength,totalLength,1.0
gpt3,_string_pad_left,param_2,desiredLength,totalLength,0.8263350129127502
gpt4,_string_pad_left,param_2,total_length,totalLength,1.0
gemini,_string_pad_left,param_3,padChar,padChar,1.0000001192092896
claud,_string_pad_left,param_3,padChar,padChar,1.0000001192092896
gpt3,_string_pad_left,param_3,padCharacter,padChar,0.9489161968231201
gpt4,_string_pad_left,param_3,pad_char,padChar,1.0000001192092896
gemini,_string_pad_left,pvVar2,newStringEnd,newSize,0.5649482011795044
claud,_string_pad_left,pvVar2,newSize,newSize,1.0000001192092896
gpt3,_string_pad_left,pvVar2,newLength,newSize,0.8771674036979675
gpt4,_string_pad_left,pvVar2,new_length,newSize,0.8771674036979675
gemini,_string_pad_left,pvVar3,newString,newData,0.6685903072357178
claud,_string_pad_left,pvVar3,newString,newData,0.6685903072357178
gpt3,_string_pad_left,pvVar3,newString,newData,0.6685903072357178
gemini,_string_pad_right,param_1,targetString,str,0.592334508895874
claud,_string_pad_right,param_1,stringObjPtr,str,0.554861307144165
gpt3,_string_pad_right,param_1,stringObjectPtr,str,0.582994818687439
gpt4,_string_pad_right,param_1,string_object,str,0.6900297999382019
gemini,_string_pad_right,param_2,totalLength,totalLength,1.0
claud,_string_pad_right,param_2,newLength,totalLength,0.7590537071228027
gpt3,_string_pad_right,param_2,totalLength,totalLength,1.0
gpt4,_string_pad_right,param_2,target_length,totalLength,0.7519612908363342
gemini,_string_pad_right,param_3,paddingCharacter,padChar,0.8884530067443848
claud,_string_pad_right,param_3,padChar,padChar,1.0000001192092896
gpt3,_string_pad_right,param_3,paddingChar,padChar,0.9269426465034485
gpt4,_string_pad_right,param_3,padding_char,padChar,0.9269426465034485
gemini,_string_pad_right,pvVar2,newCapacity,newSize,0.7865396738052368
claud,_string_pad_right,pvVar2,paddedLength,newSize,0.7611545324325562
gpt3,_string_pad_right,pvVar2,newLength,newSize,0.8771674036979675
gpt4,_string_pad_right,pvVar2,new_length_pointer,newSize,0.7258567214012146
gemini,_string_pad_right,pvVar3,reallocResult,newData,0.5331357717514038
claud,_string_pad_right,pvVar3,reallocatedPtr,newData,0.42820918560028076
gpt3,_string_pad_right,pvVar3,newStringPtr,newData,0.51796954870224
gpt4,_string_pad_right,pvVar3,reallocated_memory,newData,0.46694254875183105
gemini,_string_pop_back,param_1,stringObject,str,0.6900297999382019
claud,_string_pop_back,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_pop_back,param_1,stringBufferPtr,str,0.6064537167549133
gemini,_string_push_back,lVar1,capacityInBytes,newCapacity,0.8191878199577332
claud,_string_push_back,lVar1,currentCapacity,newCapacity,0.8850507736206055
gpt3,_string_push_back,lVar1,currentCapacity,newCapacity,0.8850507736206055
gpt4,_string_push_back,lVar1,current_capacity,newCapacity,0.8850507736206055
gemini,_string_push_back,lVar2,newMemoryLocation,newData,0.4892752468585968
claud,_string_push_back,lVar2,newDataPtr,newData,0.6688120365142822
gpt3,_string_push_back,lVar2,newCapacity,newData,0.5154808759689331
gpt4,_string_push_back,lVar2,new_memory_address,newData,0.49402010440826416
gemini,_string_push_back,param_1,stringObject,str,0.6900297999382019
claud,_string_push_back,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_push_back,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_push_back,param_1,string_struct_ptr,str,0.5312382578849792
gemini,_string_push_back,param_2,character,chItem,0.4943999648094177
claud,_string_push_back,param_2,charValue,chItem,0.4763886630535126
gpt3,_string_push_back,param_2,newChar,chItem,0.44164055585861206
gpt4,_string_push_back,param_2,char_to_append,chItem,0.42217954993247986
gemini,_string_rbegin,param_1,stringPtr,str,0.7024031281471252
claud,_string_rbegin,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_rbegin,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_rbegin,param_1,string_struct_ptr,str,0.5312382578849792
gemini,_string_remove,local_28,currentSubstringPosition,p,0.4412776529788971
claud,_string_remove,local_28,currentPtr,p,0.49710649251937866
gpt3,_string_remove,local_28,currentPosition,p,0.43746423721313477
gemini,_string_remove,param_1,stringObject,str,0.6900297999382019
claud,_string_remove,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_remove,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_remove,param_1,target_string_ptr,str,0.55802983045578
gemini,_string_remove,param_2,substring,substr,0.898354172706604
claud,_string_remove,param_2,substring,substr,0.898354172706604
gpt3,_string_remove,param_2,substring,substr,0.898354172706604
gpt4,_string_remove,param_2,substring,substr,0.898354172706604
gemini,_string_remove,sVar1,substringLength,len,0.8301892876625061
claud,_string_remove,sVar1,substringLength,len,0.8301892876625061
gpt3,_string_remove,sVar1,substringLength,len,0.8301892876625061
gpt4,_string_remove,sVar1,substring_length,len,0.8301892876625061
gemini,_string_remove_range,param_1,stringPtr,str,0.7024031281471252
claud,_string_remove_range,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_remove_range,param_1,stringBuffer,str,0.6193804144859314
gpt4,_string_remove_range,param_1,string_data,str,0.6636395454406738
gemini,_string_remove_range,param_2,startIndex,startPos,0.8880007863044739
claud,_string_remove_range,param_2,startIndex,startPos,0.8880007863044739
gpt3,_string_remove_range,param_2,startIndex,startPos,0.8880007863044739
gpt4,_string_remove_range,param_2,start_index,startPos,0.8880007863044739
gemini,_string_remove_range,param_3,endIndex,endPos,0.8710064888000488
claud,_string_remove_range,param_3,endIndex,endPos,0.8710064888000488
gpt3,_string_remove_range,param_3,endIndex,endPos,0.8710064888000488
gpt4,_string_remove_range,param_3,end_index,endPos,0.8710064888000488
gemini,_string_rend,param_1,stringPtr,str,0.7024031281471252
claud,_string_rend,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_rend,param_1,pointer,str,0.5094899535179138
claud,_string_repeat,local_10,result,result,0.9999997615814209
gpt3,_string_repeat,local_10,result,result,0.9999997615814209
claud,_string_repeat,local_38,currentPtr,current,0.805511474609375
gpt3,_string_repeat,local_38,repeatedStringPtr,current,0.3812829554080963
gpt4,_string_repeat,local_38,current_position,current,0.709863543510437
claud,_string_repeat,local_40,i,i,0.9999999403953552
gpt3,_string_repeat,local_40,loopCounter,i,0.5254945158958435
gpt4,_string_repeat,local_40,repeat_index,i,0.6439801454544067
gemini,_string_repeat,param_1,theString,str,0.7032613158226013
claud,_string_repeat,param_1,stringObjPtr,str,0.554861307144165
gpt3,_string_repeat,param_1,stringInfoPtr,str,0.6577355265617371
gpt4,_string_repeat,param_1,string_data,str,0.6636395454406738
gemini,_string_repeat,param_2,repeatCount,count,0.7791178226470947
claud,_string_repeat,param_2,repeatCount,count,0.7791178226470947
gpt3,_string_repeat,param_2,repeatCount,count,0.7791178226470947
gpt4,_string_repeat,param_2,repeat_count,count,0.7791178226470947
claud,_string_repeat,puVar1,newDataPtr,repeatedStr,0.4448506236076355
gpt3,_string_repeat,puVar1,repeatedString,repeatedStr,0.8971951007843018
gpt4,_string_repeat,puVar1,repeated_string_buffer,repeatedStr,0.7016342282295227
gemini,_string_replace,param_1,stringObject,str,0.6900297999382019
claud,_string_replace,param_1,strPtr,str,0.7935091853141785
gpt3,_string_replace,param_1,inputStr,str,0.7665789723396301
gpt4,_string_replace,param_1,string_handle,str,0.6238265037536621
gemini,_string_replace,param_2,oldStr,oldStr,0.9999998807907104
claud,_string_replace,param_2,oldStr,oldStr,0.9999998807907104
gpt3,_string_replace,param_2,oldStr,oldStr,0.9999998807907104
gpt4,_string_replace,param_2,old_substring,oldStr,0.805319607257843
gemini,_string_replace,param_3,newStr,newStr,1.0000001192092896
claud,_string_replace,param_3,newStr,newStr,1.0000001192092896
gpt3,_string_replace,param_3,newStr,newStr,1.0000001192092896
gpt4,_string_replace,param_3,new_substring,newStr,0.8118176460266113
gemini,_string_replace,pcVar1,foundPosition,position,0.8501814603805542
claud,_string_replace,pcVar1,matchPtr,position,0.45468831062316895
gpt3,_string_replace,pcVar1,oldStrPtr,position,0.3727407455444336
gpt4,_string_replace,pcVar1,found_position,position,0.8501814603805542
gemini,_string_replace,pcVar5,newStringEnd,newSize,0.5649482011795044
claud,_string_replace,pcVar5,newEndPtr,newSize,0.567202627658844
gpt3,_string_replace,pcVar5,newStrPtr,newSize,0.5008640885353088
gpt4,_string_replace,pcVar5,new_end_position,newSize,0.6146771311759949
gemini,_string_replace,pcVar6,allocatedMemory,newData,0.43948107957839966
claud,_string_replace,pcVar6,newBuffer,newData,0.6830273866653442
gpt3,_string_replace,pcVar6,newAllocatedStr,newData,0.5593730807304382
gemini,_string_replace,sVar2,oldStrLength,oldLen,0.8677467703819275
claud,_string_replace,sVar2,oldLen,oldLen,1.0000001192092896
gpt3,_string_replace,sVar2,oldStrLen,oldLen,0.8669939637184143
gpt4,_string_replace,sVar2,old_length,oldLen,0.9174932241439819
gemini,_string_replace,sVar3,newStrLength,newLen,0.8910742998123169
claud,_string_replace,sVar3,newLen,newLen,1.0000001192092896
gpt3,_string_replace,sVar3,newStrLen,newLen,0.8867300748825073
gpt4,_string_replace,sVar3,new_length,newLen,0.9136560559272766
gemini,_string_replace,sVar4,remainingStrLength,tailLen,0.666461706161499
claud,_string_replace,sVar4,remainingLen,tailLen,0.7174922227859497
gpt3,_string_replace,sVar4,remainingStrLen,tailLen,0.6846063733100891
gpt4,_string_replace,sVar4,suffix_length,tailLen,0.6934884190559387
gemini,_string_replace_all,local_30,currentStringPosition,start,0.5232439041137695
claud,_string_replace_all,local_30,currentPtr,start,0.5305655002593994
gpt3,_string_replace_all,local_30,currentPosition,start,0.5427353978157043
gemini,_string_replace_all,param_1,targetStringPtr,str,0.55802983045578
claud,_string_replace_all,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_replace_all,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_replace_all,param_1,target_string_ptr,str,0.55802983045578
